Code,Description
AB,Acetabularia spp.
AC,Algae: calcareous
AG,Algae: Filamentous green
AM,Algae: Mixed
AR,Algae: Filamentous red
AT,Acanthophora spp.
AU,Algae: Unidentified
BA,Batophora spp.
CA,Caulerpa spp.
EL,Eleocharis spp.
GM,Seagrasses: Mixed
GR,Gracillaria
GU,Seagrasses: Unidentified
HA,Halodule spp.
HC,Halophila decipiens (paddle grass)
HD,Hydrilla spp
HE,Halophila engelmanii  (star grass)
HI,Halophila spp.
HJ,Halophila johnsonii
HM,Halimeda spp.
LA,Laurencia spp
LS,Limnophila spp. (Asian marshweed)
MK,Muskgrass
MY,Myriophyllum spp.
NJ,Najas spp.  (busy pond weed)
NO,None
PE,Penicillus capitatus (Merman's shaving brush)
PO,Potamogeton spp. (pond weed)
RU,Ruppia spp.
SG,Sargassum spp
SK,Sagittaria kurziana (strap-leaf sagittaria)
SP,Spatterdock (Nuphar spp.)
SY,Syringodium spp.
TH,Thalassia spp.
UN,Unknown
VA,Valisneria spp.
ZA,Zannichellia palustris (horned pond weed)
